"正答率-基礎問題"
"午前"
"大分類","問題番号","全国正答率(%)","貴校正答率(%)"
"生理学","68","37.2","32.7"
"生理学","69","51.8","48.0"
"運動学","70","60.3","72.4"
"運動学","71","46.3","54.1"
"運動学","72","48.9","52.0"
"運動学","73","61.0","61.2"
"運動学","74","64.4","61.2"
"病理学概論","75","47.9","53.1"
"病理学概論","76","46.8","48.0"
"内部障害・がん関連障害","77","71.0","41.8"
"内部障害・がん関連障害","78","70.2","74.5"
"臨床心理学","79","37.9","31.6"
"臨床心理学","80","25.7","25.5"
"臨床心理学","81","48.0","48.0"
"老年期障害","82","46.7","43.9"
"神経・筋障害・慢性疼痛","83","43.1","43.9"
"神経・筋障害・慢性疼痛","84","52.9","46.9"
"老年期障害","85","73.2","73.5"
"骨関節障害","86","46.2","40.8"
"骨関節障害","87","49.5","35.7"
"小児の障害","88","61.7","60.2"
"神経・筋障害・慢性疼痛","89","46.4","27.6"
"神経・筋障害・慢性疼痛","90","38.7","53.1"
"骨関節障害","91","71.6","62.2"
"内部障害・がん関連障害","92","53.9","46.9"
"内部障害・がん関連障害","93","34.3","29.6"
"内部障害・がん関連障害","94","37.9","45.9"
"医学概論・臨床医学総論・保健医療福祉","95","26.7","21.4"
"精神障害","96","66.2","61.2"
"精神障害","97","36.3","31.6"
"精神障害","98","30.0","32.7"
"精神障害","99","34.5","40.8"
"精神障害","100","51.3","52.0"

"正答率-専門問題"
"午前"
"大分類","問題番号","全国正答率(%)","貴校正答率(%)"
"理学療法評価学","1","52.9","49.0"
"臨床運動学","2","14.0","14.3"
"脳血管障害","3","58.2","51.0"
"発達・小児","4","34.6","26.5"
"義肢・装具","5","44.8","41.8"
"物理療法","6","43.2","50.0"
"脳血管障害","7","53.6","50.0"
"骨関節・熱傷","8","68.5","63.3"
"骨関節・熱傷","9","56.1","60.2"
"骨関節・熱傷","10","69.3","72.4"
"頸髄・脊髄損傷","11","48.4","46.9"
"発達・小児","12","28.9","20.4"
"ADL・生活環境","13","34.1","30.6"
"発達・小児","14","42.6","44.9"
"神経筋・感覚障害","15","40.4","22.4"
"ADL・生活環境","16","52.3","61.2"
"呼吸・循環・代謝","17","61.9","65.3"
"呼吸・循環・代謝","18","79.9","76.5"
"呼吸・循環・代謝","19","33.9","43.9"
"骨関節・熱傷","20","72.2","72.4"
"基礎・管理・地域","21","18.2","11.2"
"基礎・管理・地域","22","64.4","65.3"
"基礎・管理・地域","23","53.4","66.3"
"ADL・生活環境","24","53.8","60.2"
"運動療法基礎","25","55.9","46.9"
"臨床運動学","26","58.7","59.2"
"脳血管障害","27","36.1","25.5"
"理学療法評価学","28","80.1","68.4"
"神経筋・感覚障害","29","34.4","25.5"
"運動療法基礎","30","67.5","62.2"
"理学療法評価学","31","52.0","41.8"
"神経筋・感覚障害","32","45.8","56.1"
"骨関節・熱傷","33","31.2","24.5"
"義肢・装具","34","34.2","38.8"
"頸髄・脊髄損傷","35","18.9","11.2"
"骨関節・熱傷","36","53.9","42.9"
"骨関節・熱傷","37","61.1","50.0"
"運動療法基礎","38","64.9","66.3"
"呼吸・循環・代謝","39","39.7","34.7"
"骨関節・熱傷","40","46.3","56.1"
"神経筋・感覚障害","41","41.4","38.8"
"呼吸・循環・代謝","42","63.8","94.9"
"骨関節・熱傷","43","44.6","37.8"
"呼吸・循環・代謝","44","54.8","56.1"
"神経筋・感覚障害","45","61.1","51.0"
"基礎・管理・地域","46","44.3","44.9"
"ADL・生活環境","47","32.4","27.6"
"基礎・管理・地域","48","51.0","38.8"
"基礎・管理・地域","49","45.3","46.9"
"基礎・管理・地域","50","64.5","59.2"
"午後"
"大分類","問題番号","全国正答率(%)","貴校正答率(%)"
"理学療法評価学","1","81.5","80.6"
"呼吸・循環・代謝","2","51.3","46.9"
"呼吸・循環・代謝","3","26.8","21.4"
"発達・小児","4","50.7","44.9"
"義肢・装具","5","25.3","18.4"
"神経筋・感覚障害","6","54.2","41.8"
"神経筋・感覚障害","7","58.6","45.9"
"骨関節・熱傷","8","36.8","29.6"
"発達・小児","9","67.1","60.2"
"神経筋・感覚障害","10","45.7","40.8"
"ADL・生活環境","11","37.2","35.7"
"ADL・生活環境","12","56.5","58.2"
"呼吸・循環・代謝","13","46.0","45.9"
"神経筋・感覚障害","14","80.4","79.6"
"脳血管障害","15","63.9","78.6"
"骨関節・熱傷","16","59.4","54.1"
"神経筋・感覚障害","17","27.4","36.7"
"高齢期疾患・がん関連","18","32.5","26.5"
"骨関節・熱傷","19","39.4","33.7"
"基礎・管理・地域","20","51.7","52.0"
"基礎・管理・地域","21","45.6","29.6"
"基礎・管理・地域","22","57.9","67.3"
"臨床運動学","23","64.7","57.1"
"理学療法評価学","24","35.8","27.6"
"基礎・管理・地域","25","61.4","67.3"
"基礎・管理・地域","26","82.6","75.5"
"理学療法評価学","27","71.4","74.5"
"理学療法評価学","28","52.1","44.9"
"頸髄・脊髄損傷","29","49.6","64.3"
"理学療法評価学","30","28.2","18.4"
"義肢・装具","31","24.5","35.7"
"骨関節・熱傷","32","41.8","49.0"
"脳血管障害","33","63.6","57.1"
"発達・小児","34","35.2","37.8"
"骨関節・熱傷","35","35.1","37.8"
"脳血管障害","36","47.3","48.0"
"基礎・管理・地域","37","42.8","49.0"
"義肢・装具","38","52.1","51.0"
"物理療法","39","67.0","69.4"
"呼吸・循環・代謝","40","47.5","50.0"
"ADL・生活環境","41","52.5","52.0"
"骨関節・熱傷","42","48.4","43.9"
"神経筋・感覚障害","43","58.1","59.2"
"神経筋・感覚障害","44","15.9","19.4"
"理学療法評価学","45","32.6","33.7"
"基礎・管理・地域","46","51.9","48.0"
"基礎・管理・地域","47","59.8","62.2"
"基礎・管理・地域","48","44.1","25.5"
"基礎・管理・地域","49","68.3","70.4"
"理学療法評価学","50","80.3","80.6"
